kernel,in_ch,out_ch,stride,pad,height,width,tc1,tc2,time_ms
3,24,64,2,1,120,160,1,4,0.186388
3,24,64,2,1,120,160,1,8,0.0916189
3,24,64,2,1,120,160,1,16,0.0470016
3,24,64,2,1,120,160,1,32,0.0258253
3,24,64,2,1,120,160,1,64,0.0132915
3,24,64,2,1,120,160,1,128,0.0124621
3,24,64,2,1,120,160,2,1,0.3699
3,24,64,2,1,120,160,2,2,0.189471
3,24,64,2,1,120,160,2,4,0.0903066
3,24,64,2,1,120,160,2,8,0.053289
3,24,64,2,1,120,160,2,16,0.0242525
3,24,64,2,1,120,160,2,32,0.011776
3,24,64,2,1,120,160,2,64,0.0117386
3,24,64,2,1,120,160,2,128,0.0118989
3,24,64,2,1,120,160,4,1,0.185426
3,24,64,2,1,120,160,4,2,0.0971469
3,24,64,2,1,120,160,4,4,0.0467558
3,24,64,2,1,120,160,4,8,0.0234086
3,24,64,2,1,120,160,4,16,0.0117658
3,24,64,2,1,120,160,4,32,0.0112214
3,24,64,2,1,120,160,4,64,0.0114688
3,24,64,2,1,120,160,4,128,0.0130765
3,24,64,2,1,120,160,8,1,0.0880538
3,24,64,2,1,120,160,8,2,0.045752
3,24,64,2,1,120,160,8,4,0.0276867
3,24,64,2,1,120,160,8,8,0.012784
3,24,64,2,1,120,160,8,16,0.0125952
3,24,64,2,1,120,160,8,32,0.0127898
3,24,64,2,1,120,160,8,64,0.0129706
3,24,64,2,1,120,160,8,128,0.020224
3,24,64,2,1,120,160,16,1,0.0556134
3,24,64,2,1,120,160,16,2,0.0351232
3,24,64,2,1,120,160,16,4,0.026327
3,24,64,2,1,120,160,16,8,0.0241254
3,24,64,2,1,120,160,16,16,0.0185856
3,24,64,2,1,120,160,16,32,0.0177462
3,24,64,2,1,120,160,16,64,0.0228557
3,24,64,2,1,120,160,32,1,0.0647373
3,24,64,2,1,120,160,32,2,0.0573645
3,24,64,2,1,120,160,32,4,0.0580301
3,24,64,2,1,120,160,32,8,0.061184
3,24,64,2,1,120,160,32,16,0.057385
3,24,64,2,1,120,160,32,32,0.0654438
3,24,64,2,1,120,160,64,1,0.0572109
3,24,64,2,1,120,160,64,2,0.0556237
3,24,64,2,1,120,160,64,4,0.0621555
3,24,64,2,1,120,160,64,8,0.0572445
3,24,64,2,1,120,160,64,16,0.0590131
3,24,64,2,1,120,160,128,1,0.0559718
3,24,64,2,1,120,160,128,2,0.0572314
3,24,64,2,1,120,160,128,4,0.0646451
3,24,64,2,1,120,160,128,8,0.0578355
3,64,64,1,1,60,80,1,1,1.83016
3,64,64,1,1,60,80,1,2,0.921511
3,64,64,1,1,60,80,1,4,0.466984
3,64,64,1,1,60,80,1,8,0.234496
3,64,64,1,1,60,80,1,16,0.118399
3,64,64,1,1,60,80,1,32,0.0599245
3,64,64,1,1,60,80,1,64,0.0287949
3,64,64,1,1,60,80,1,128,0.0319693
3,64,64,1,1,60,80,2,1,0.916152
3,64,64,1,1,60,80,2,2,0.468204
3,64,64,1,1,60,80,2,4,0.233882
3,64,64,1,1,60,80,2,8,0.118231
3,64,64,1,1,60,80,2,16,0.0600202
3,64,64,1,1,60,80,2,32,0.0279347
3,64,64,1,1,60,80,2,64,0.0279245
3,64,64,1,1,60,80,2,128,0.028832
3,64,64,1,1,60,80,4,1,0.460431
3,64,64,1,1,60,80,4,2,0.232109
3,64,64,1,1,60,80,4,4,0.117852
3,64,64,1,1,60,80,4,8,0.0600458
3,64,64,1,1,60,80,4,16,0.0307539
3,64,64,1,1,60,80,4,32,0.0275354
3,64,64,1,1,60,80,4,64,0.0277402
3,64,64,1,1,60,80,4,128,0.0337437
3,64,64,1,1,60,80,8,1,0.228936
3,64,64,1,1,60,80,8,2,0.113766
3,64,64,1,1,60,80,8,4,0.0569754
3,64,64,1,1,60,80,8,8,0.0323584
3,64,64,1,1,60,80,8,16,0.0313958
3,64,64,1,1,60,80,8,32,0.0311091
3,64,64,1,1,60,80,8,64,0.0334643
3,64,64,1,1,60,80,8,128,0.049879
3,64,64,1,1,60,80,16,1,0.152197
3,64,64,1,1,60,80,16,2,0.0770765
3,64,64,1,1,60,80,16,4,0.0720077
3,64,64,1,1,60,80,16,8,0.0623411
3,64,64,1,1,60,80,16,16,0.0474339
3,64,64,1,1,60,80,16,32,0.0347546
3,64,64,1,1,60,80,16,64,0.0625459
3,64,64,1,1,60,80,32,1,0.153088
3,64,64,1,1,60,80,32,2,0.15234
3,64,64,1,1,60,80,32,4,0.152187
3,64,64,1,1,60,80,32,8,0.15232
3,64,64,1,1,60,80,32,16,0.15316
3,64,64,1,1,60,80,32,32,0.159508
3,64,64,1,1,60,80,64,1,0.152924
3,64,64,1,1,60,80,64,2,0.152259
3,64,64,1,1,60,80,64,4,0.15189
3,64,64,1,1,60,80,64,8,0.151894
3,64,64,1,1,60,80,64,16,0.153999
3,64,64,1,1,60,80,128,1,0.15288
3,64,64,1,1,60,80,128,2,0.157488
3,64,64,1,1,60,80,128,4,0.151603
3,64,64,1,1,60,80,128,8,0.1523
1,64,64,1,0,60,80,1,1,0.214456
1,64,64,1,0,60,80,1,2,0.115517
1,64,64,1,0,60,80,1,4,0.053463
1,64,64,1,0,60,80,1,8,0.0302182
1,64,64,1,0,60,80,1,16,0.0145306
1,64,64,1,0,60,80,1,32,0.00793696
1,64,64,1,0,60,80,1,64,0.00715776
1,64,64,1,0,60,80,1,128,0.00774144
1,64,64,1,0,60,80,2,1,0.106629
1,64,64,1,0,60,80,2,2,0.0533709
1,64,64,1,0,60,80,2,4,0.0274618
1,64,64,1,0,60,80,2,8,0.0144589
1,64,64,1,0,60,80,2,16,0.00793248
1,64,64,1,0,60,80,2,32,0.00467968
1,64,64,1,0,60,80,2,64,0.00551936
1,64,64,1,0,60,80,2,128,0.00573248
1,64,64,1,0,60,80,4,1,0.0532992
1,64,64,1,0,60,80,4,2,0.0273981
1,64,64,1,0,60,80,4,4,0.0144003
1,64,64,1,0,60,80,4,8,0.00799744
1,64,64,1,0,60,80,4,16,0.00440704
1,64,64,1,0,60,80,4,32,0.00441344
1,64,64,1,0,60,80,4,64,0.00443776
1,64,64,1,0,60,80,4,128,0.00515072
1,64,64,1,0,60,80,8,1,0.0264397
1,64,64,1,0,60,80,8,2,0.0136886
1,64,64,1,0,60,80,8,4,0.00730112
1,64,64,1,0,60,80,8,8,0.00524288
1,64,64,1,0,60,80,8,16,0.00509856
1,64,64,1,0,60,80,8,32,0.00507712
1,64,64,1,0,60,80,8,64,0.00541696
1,64,64,1,0,60,80,8,128,0.00856064
1,64,64,1,0,60,80,16,1,0.0173158
1,64,64,1,0,60,80,16,2,0.00955392
1,64,64,1,0,60,80,16,4,0.00903264
1,64,64,1,0,60,80,16,8,0.00768064
1,64,64,1,0,60,80,16,16,0.0063488
1,64,64,1,0,60,80,16,32,0.00485376
1,64,64,1,0,60,80,16,64,0.0085504
1,64,64,1,0,60,80,32,1,0.0171814
1,64,64,1,0,60,80,32,2,0.0173293
1,64,64,1,0,60,80,32,4,0.0173773
1,64,64,1,0,60,80,32,8,0.0174592
1,64,64,1,0,60,80,32,16,0.0177766
1,64,64,1,0,60,80,32,32,0.0187712
1,64,64,1,0,60,80,64,1,0.0172544
1,64,64,1,0,60,80,64,2,0.0172749
1,64,64,1,0,60,80,64,4,0.0173568
1,64,64,1,0,60,80,64,8,0.0175648
1,64,64,1,0,60,80,64,16,0.0190054
1,64,64,1,0,60,80,128,1,0.0172368
1,64,64,1,0,60,80,128,2,0.0173056
1,64,64,1,0,60,80,128,4,0.017449
1,64,64,1,0,60,80,128,8,0.018705
3,64,64,2,1,60,80,1,1,0.48421
3,64,64,2,1,60,80,1,2,0.234383
3,64,64,2,1,60,80,1,4,0.117897
3,64,64,2,1,60,80,1,8,0.0597606
3,64,64,2,1,60,80,1,16,0.0306749
3,64,64,2,1,60,80,1,32,0.0161002
3,64,64,2,1,60,80,1,64,0.00821248
3,64,64,2,1,60,80,1,128,0.00881664
3,64,64,2,1,60,80,2,1,0.236705
3,64,64,2,1,60,80,2,2,0.117195
3,64,64,2,1,60,80,2,4,0.059647
3,64,64,2,1,60,80,2,8,0.0306176
3,64,64,2,1,60,80,2,16,0.0160154
3,64,64,2,1,60,80,2,32,0.0080592
3,64,64,2,1,60,80,2,64,0.0080384
3,64,64,2,1,60,80,2,128,0.00817152
3,64,64,2,1,60,80,4,1,0.117388
3,64,64,2,1,60,80,4,2,0.0595558
3,64,64,2,1,60,80,4,4,0.0306074
3,64,64,2,1,60,80,4,8,0.016023
3,64,64,2,1,60,80,4,16,0.00812032
3,64,64,2,1,60,80,4,32,0.00790528
3,64,64,2,1,60,80,4,64,0.00794624
3,64,64,2,1,60,80,4,128,0.00869376
3,64,64,2,1,60,80,8,1,0.0575693
3,64,64,2,1,60,80,8,2,0.0293888
3,64,64,2,1,60,80,8,4,0.0152166
3,64,64,2,1,60,80,8,8,0.00923424
3,64,64,2,1,60,80,8,16,0.0089088
3,64,64,2,1,60,80,8,32,0.00867328
3,64,64,2,1,60,80,8,64,0.00889856
3,64,64,2,1,60,80,8,128,0.013783
3,64,64,2,1,60,80,16,1,0.0409293
3,64,64,2,1,60,80,16,2,0.0210819
3,64,64,2,1,60,80,16,4,0.0193331
3,64,64,2,1,60,80,16,8,0.0164246
3,64,64,2,1,60,80,16,16,0.0128922
3,64,64,2,1,60,80,16,32,0.00984064
3,64,64,2,1,60,80,16,64,0.0168448
3,64,64,2,1,60,80,32,1,0.041472
3,64,64,2,1,60,80,32,2,0.0411443
3,64,64,2,1,60,80,32,4,0.0410214
3,64,64,2,1,60,80,32,8,0.0409395
3,64,64,2,1,60,80,32,16,0.0411219
3,64,64,2,1,60,80,32,32,0.0417894
3,64,64,2,1,60,80,64,1,0.0414515
3,64,64,2,1,60,80,64,2,0.041175
3,64,64,2,1,60,80,64,4,0.0410419
3,64,64,2,1,60,80,64,8,0.0410112
3,64,64,2,1,60,80,64,16,0.0415744
3,64,64,2,1,60,80,128,1,0.0414413
3,64,64,2,1,60,80,128,2,0.0410931
3,64,64,2,1,60,80,128,4,0.0410112
3,64,64,2,1,60,80,128,8,0.0412877
3,64,64,1,1,30,40,1,1,0.473682
3,64,64,1,1,30,40,1,2,0.232888
3,64,64,1,1,30,40,1,4,0.116972
3,64,64,1,1,30,40,1,8,0.0596669
3,64,64,1,1,30,40,1,16,0.0306384
